Prefixes,Suffixes,Compounds,Compounds split in 2,Familiar Words (DaleChall),
a-,-a,affereffect,after-effect,A,
ab-,-a-palooza,afternoon,after-noon,A.M.,
abdomin-,-ab,afterthought,after-thought,America,
abdomino-,-ability,airbag,air-bag,American,
abio-,-able,aircraft,air-craft,April,
abs-,-ably,airline,air-line,August,
ac-,-aboo,airplane,air-plane,B,
acanth-,-ac,airport,air-port,C,
acantho-,-acal,airtight,air-tight,Christmas,
acar-,-aceous,angelfish,angel-fish,Creep,
acaro-,-acious,another,an-other,D,
accelero-,-acity,anybody,any-body,D.C.,
acet-,-acy,anyhow,any-how,Dad,
aceto-,-ad,anymore,any-more,December,
acousto-,-ade,anyone,any-one,Easter,
acr-,-adelic,anyplace,any-place,Eskimo,
acro-,-adenia,anything,any-thing,F,
acromio-,-adic,anytime,any-time,February,
actin-,-adol,anyway,any-way,Friday,
actino-,-ae,anywhere,any-where,G,
acu-,-�,applesauce,apple-sauce,George Washington,
ad-,-aemia,armchair,arm-chair,God,
aden-,-�mia,armhole,arm-hole,Halloween,
adeno-,-afil,armpit,arm-pit,I,
adip-,-age,arrowhead,arrow-head,I'd,
adipo-,-ageddon,artwork,art-work,I'll,
adreno-,-agog,awestruck,awe-struck,I'm,
aedoe-,-agogue,backache,back-ache,I've,
�gypto-,-agogy,backbone,back-bone,Indian,
aeluro-,-aholic,backdrop,back-drop,It,
aeolo-,-aire,background,back-ground,It'll,
�qui-,-al,backhand,back-hand,It's,
aer-,-algia,backhoe,back-hoe,Its,
a�r-,-algy,backlog,back-log,J,
aero-,-ality,backpack,back-pack,January,
a�ro-,-all,backspace,back-space,July,
aesthesio-,-ally,backstab,back-stab,June,
aetio-,-alol,backstabbing,back-stabbing,K,
afore-,-ambulist,backstroke,back-stroke,L,
Afro-,-amic,backwater,back-water,Lincoln,
aft-,-amidine,backwoods,back-woods,London,
after-,-amine,backyard,back-yard,M,
again-,-amivir,badlands,bad-lands,Monday,
agri-,-amundo,bagpipe,bagpipe,Mr.,
agro-,-an,ballplayer,ball-player,Mrs.,
ailur-,-ana,bantamweight,bantam-weight,N,
ailuro-,-ance,barcode,bar-code,November,
akro-,-ancy,barefoot,bare-foot,O.K.,
al-,-and,barnstorm,barn-storm,October,
Albano-,-ander,barnyard,barn-yard,P,
albo-,-andrian,baseball,base-ball,P.M.,
alco-,-androus,basketball,basket-ball,Pa,
alder-,-andry,bathmat,bath-mat,R,
aleuro-,-ane,bathrobe,bath-robe,S,
algo-,-aneous,bathroom,bath-room,Saturday,
ali-,-angle,bathtub,bath-tub,September,
alk-,-angular,bathwater,bath-water,Sir,
all-,-anine,battlecry,battle-cry,Sis,
allant-,-ant,battlecruiser,battle-cruiser,So,
allanto-,-anth,battlefield,battle-field,Sunday,
allo-,-anthropy,battleship,battle-ship,T,
alt-,-apalooza,beachcomb,beach-comb,TV,
alt.,-apine,beachcomber,beach-comber,Thanksgiving,
alter-,-ar,beancurd,bean-curd,Thursday,
alto-,-arabine,become,be-come,Tuesday,
aluminio-,-arch,bedrock,bed-rock,U,
alumino-,-archy,bedroom,bed-room,U.S.,
alveol-,-ard,bedspread,bed-spread,U.S.A.,
alveolo-,-arian,bedspring,bed-spring,V,
ambi-,-arium,bedtime,bed-time,Valentine,
ameb-,-arol,beehive,bee-hive,W,
amebo-,-arone,beekeeper,bee-keeper,Washington,
amelo-,-aroo,beekeeping,bee-keeping,Wednesday,
Americo-,-aroonie,beeswax,bee-swax,X,
Amero-,-arotene,beforehand,before-hand,Xmas,
amino-,-ary,bellflower,bell-flower,Y,
ammo-,-ase,bellhop,bell-hop,Z,
ammonio-,-asone,bellyache,belly-ache,able,
amnio-,-ass,benchmark,bench-mark,aboard,
amoeb-,-ast,billboard,bill-board,about,
am�b-,-aster,birthday,birth-day,above,
amoebo-,-astic,birthplace,birth-place,absent,
am�bo-,-asvir,birthrate,birth-rate,ac,
ampelo-,-ata,birthright,birth-right,accept,
amphi-,-ate,bitterroot,bit-terroot,accident,
ampho-,-ated,bittersweet,bit-ter-sweet,account,
amygdal-,-athlon,blackberry,black-berry,ace,
amygdalo-,-a-thon,blackbird,black-bird,ache,
amyl-,-athon,blackboard,black-board,acid,
amylo-,-atic,blacklist,black-list,acorn,
an-,-atim,blackout,black-out,across,
ana-,-ation,blacksmith,black-smith,action,
anarcha-,-ative,blockbuster,block-buster,add,
anarcho-,-ator,blowout,blow-out,addition,
anatomico-,-atory,blowup,blow-up,address,
anatomo-,-ay,bluebell,blue-bell,adjust,
andr-,-azam,blueberry,blue-berry,adjustment,
andro-,-azenil,bluebird,blue-bird,admire,
anemo-,-azepam,bluebonnet,blue-bonnet,admission,
angi-,-azepate,bobcat,bob-cat,adore,
angio-,-azocine,bobtail,bob-tail,adult,
Anglo-,-azodone,bodyguard,body-guard,adventure,
anglo-,-azolam,bookbinder,book-binder,advice,
anhydro-,-azosin,bookbinding,book-binding,afraid,
aniso-,-bactam,bookcase,book-case,after,
ankyl-,-bait,bookkeeper,book-keeper,afternoon,
ankylo-,-bamate,bookmark,book-mark,afterward,
annulo-,-berg,bookmobile,book-mobile,afterwards,
ano-,-betasol,bookshelf,book-shelf,again,
ant-,-bie,bookstore,book-store,against,
ante-,-bility,bookworm,book-worm,age,
anteiso-,-biont,bowleg,bow-leg,ago,
anterio-,-biosis,boxcar,box-car,agree,
antero-,-biotic,brainstorm,brain-storm,ah,
antho-,-bital,brainwash,brain-wash,ahead,
anthra-,-blast,breadbasket,bread-basket,aid,
anthrac-,-blastic,breadbox,bread-box,aim,
anthraco-,-blr,breadcrumb,bread-crumb,air,
anthro-,-boo,breadfruit,bread-fruit,airline,
anthrop-,-boro,breadknife,bread-knife,airplane,
anthropo-,-borough,breadstick,bread-stick,airport,
anti-,-bot,breakdancing,break-dancing,airy,
antiprismo-,-bound,breakdown,break-down,alarm,
anxio-,-bradine,breakfast,break-fast,album,
aort-,-burg,breakfront,break-front,alike,
aortico-,-burger,breakneck,break-neck,alive,
aorto-,-burgh,breakout,break-out,all,
apeiro-,-bury,breakthrough,break-through,alley,
apic-,-buterol,breakup,break-up,alligator,
apico-,-buvir,breakwater,break-water,allright,
aplo-,-by,breastbone,breast-bone,almost,
apo-,-cade,breaststroke,breast-stroke,alone,
appendic-,-caine,bridegroom,bride-groom,along,
appendico-,-capone,briefcase,brief-case,alongside,
apr�s-,-cardia,bringdown,bring-down,aloud,
aqua-,-care,browbeat,brow-beat,alphabet,
aque-,-carnil,bucktoothed,buck-toothed,already,
ar-,-carp,bulkhead,bulk-head,also,
Arabo-,-carpic,bulldog,bull-dog,always,
arachn-,-carpous,bulldozer,bull-dozer,am,
arachno-,-cast,bullfrog,bull-frog,amaze,
arc-,-cavir,businessman,busi-ness-man,amazement,
Arcado-,-cc,businesswoman,busi-ness-woman,among,
arch-,-ce,buttercup,butter-cup,amount,
archae-,-cel,butterfingers,butter-fingers,an,
arch�-,-cele,butterfly,butter-fly,and,
archaeo-,-cene,buttermilk,butter-milk,angel,
arch�o-,-centesis,buttonhole,button-hole,anger,
archaio-,-centric,bygone,by-gone,angry,
archeo-,-centrism,bypass,by-pass,animal,
archi-,-cephalic,callback,call-back,ankle,
archo-,-cephalous,campfire,camp-fire,announce,
Arcto-,-cephaly,candlestick,candle-stick,announcement,
areno-,-ception,candytuft,candy-tuft,another,
areo-,-cest,cannot,can-not,answer,
argento-,-chan,cardboard,card-board,ant,
argyr-,-chezia,carefree,care-free,any,
argyro-,-chore,careless,care-less,anybody,
aristo-,-choron,caretaker,care-taker,anyhow,
arithmo-,-chorous,carpool,car-pool,anyone,
Armen-,-chory,carport,car-port,anything,
Armeno-,-chrome,cartwheel,cart-wheel,anyway,
arseno-,-ciclovir,catfish,cat-fish,anywhere,
arte-,-cidal,catnap,cat-nap,apart,
arteri-,-cide,catnip,cat-nip,apartment,
arterio-,-cillin,chairman,chair-man,ape,
arteriolo-,-cin,chairperson,chair-person,apiece,
arthr-,-citabine,chairwoman,chair-woman,appear,
arthro-,-clase,cheapskate,cheap-skate,applause,
as-,-clast,checkerboard,checker-board,apple,
ascar-,-clidine,checkmate,check-mate,apron,
aspergill-,-clidinium,checkroom,check-room,are,
aspergillo-,-clinal,checkup,check-up,area,
aster-,-cline,chestnut,chest-nut,aren't,
astheno-,-clinic,chickpea,chick-pea,arise,
astragalo-,-clofenac,childbearing,child-bearing,arithmetic,
astro-,-cocci,childbirth,child-birth,arm,
at-,-coccus,childcare,child-care,army,
atel-,-coel,childfree,child-free,around,
atelo-,-coele,childless,child-less,arrange,
ather-,-cole,childlike,child-like,arrest,
athero-,-colous,childproof,child-proof,arrive,
atlant-,-con,chopstick,chop-stick,arrow,
atlanto-,-conazole,classmate,class-mate,arrowhead,
atlo-,-copter,classroom,class-room,art,
atrio-,-core,classwork,class-work,artist,
atrop-,-corn,clockwise,clock-wise,as,
atropo-,-cort,clockwork,clock-work,ash,
atto-,-coxib,clotheshorse,clothes-horse,aside,
audio-,-cracy,clothesline,clothes-line,ask,
aur-,-craft,clothespin,clothes-pin,asleep,
auri-,-crasy,coastline,coast-line,astronaut,
auriculo-,-crat,cobweb,cob-web,at,
auro-,-cratic,coldhearted,cold-hearted,ate,
Australo-,-crete,cookbook,cook-book,atlas,
Austro-,-crine,cookout,cook-out,attack,
aut-,-cross,cooktop,cook-top,attend,
auto-,-crypt,cookware,cook-ware,attention,
auxo-,-cule,copycat,copy-cat,aunt,
avi-,-curium,copyright,copy-right,author,
axi-,-curonium,copywriter,copy-writer,auto,
axo-,-cy,corkscrew,cork-screw,automobile,
az-,-cycline,cornbread,corn-bread,autumn,
aza-,-cyte,corncob,corn-cob,avenue,
Azero-,-'d,cornfield,corn-field,awake,
azido-,-d,cornflower,corn-flower,awaken,
azo-,-dactyl,cornmeal,corn-meal,award,
bacillo-,-dan,cornstalk,corn-stalk,away,
back-,-dar,cottonmouth,cotton-mouth,awful,
bacter-,-dazole,countdown,count-down,awhile,
bacteri-,-derm,counterattack,counter-attack,ax,
bacterio-,-derma,counterbalance,counter-balance,baa,
balano-,-dermatous,counterclockwise,counter-clockwise,baby,
Balkano-,-desis,counterweight,counter-weight,baby-sitter,
balneo-,-diene,countryside,country-side,back,
Balto-,-dil,coursework,course-work,backache,
bar-,-dilol,courthouse,court-house,background,
bario-,-dipine,courtyard,court-yard,backtrack,
baro-,-dipsia,cowbell,cow-bell,backward,
bary-,-dom,cowboy,cow-boy,backwards,
baryo-,-dopa,cowgirl,cow-girl,bacon,
baryto-,-dralazine,cowslip,cow-slip,bad,
basi-,-drine,crabgrass,crab-grass,badge,
baso-,-drome,craftsman,crafts-man,bag,
Bat-,-dromous,craftswoman,crafts-woman,baggage,
bat-,-dronate,crawfish,craw-fish,bait,
Batavo-,-dutant,crayfish,cray-fish,bake,
batho-,-dyl,crossbow,cross-bow,bakery,
bathy-,-e,crossroad,cross-road,balance,
Bavaro-,-ean,crossroads,cross-roads,ball,
be-,Appendix:Suffix -eaux,crosswalk,cross-walk,balloon,
Belgo-,-ectomy,crossword,cross-word,ballpoint,
benz-,-ed,crowbar,crow-bar,banana,
benzo-,-�d,cubbyhole,cubby-hole,band,
Berkeleio-,-ee,cupboard,cup-board,bandage,
bi-,-een,cupcake,cup-cake,bang,
biblio-,-eer,cutaway,cut-away,banjo,
bili-,-eh,cutback,cut-back,bank,
bilio-,-ein,cutoff,cut-off,bar,
bin-,-eine,cutthroat,cut-throat,barbecue,
bio-,-el,cutup,cut-up,barber,
bis-,-elect,daredevil,dare-devil,bare,
bismuto-,-elle,darkroom,dark-room,barefoot,
blast-,-eme,dashboard,dash-board,bark,
blasto-,-emia,database,data-base,barn,
blenno-,-en,daybreak,day-break,barrel,
blepharo-,-ence,daydream,day-dream,base,
bora-,-enchyma,daylight,day-light,baseball,
boreo-,-ency,daytime,day-time,basement,
boro-,-end,deadline,dead-line,basket,
Bosno-,-ene,desktop,desktop,basketball,
brachio-,-ennial,dimwit,dim-wit,bat,
brachy-,-ensian,dishcloth,dish-cloth,bath,
brady-,-ent,dishwasher,dish-washer,bathe,
branchio-,-entan,dishwater,dish-water,bathroom,
brepho-,-enyl,dogcatcher,dog-catcher,battle,
brevi-,-eous,dogfish,dog-fish,be,
Brit-,-'er,doghouse,dog-house,beach,
Britanno-,-er,dogwood,dog-wood,bead,
Brito-,-ergic,doorbell,door-bell,beak,
brom-,-ergy,doorknob,door-knob,beam,
bromo-,-eridine,doorman,door-man,bean,
bronch-,-erie,doormat,door-mat,bear,
bronchio-,-erization,doorstep,door-step,beard,
broncho-,-erize,doorstop,door-stop,beast,
bronto-,-ern,doorway,door-way,beat,
bryo-,-eroo,downburst,down-burst,beautiful,
bucco-,-eroonie,downcast,down-cast,beauty,
Bulgaro-,-ers,downdraft,down-draft,beaver,
bur-,-ery,downfall,down-fall,became,
Burmo-,-es,downhill,down-hill,because,
but-,-esce,downlink,down-link,become,
butyro-,-escence,download,down-load,bed,
by-,-escent,downplay,down-play,bedroom,
C-,-ese,downpour,down-pour,bedspread,
caco-,-esis,downrate,down-rate,bee,
caeco-,-esque,downright,down-right,beef,
calc-,-ess,downscale,down-scale,beefsteak,
calcaneo-,-est,downshift,down-shift,been,
calci-,-et,downsize,down-size,beer,
calcio-,-eth,downstairs,down-stairs,beet,
calco-,-ethidine,downstream,down-stream,before,
calli-,-etic,downstroke,down-stroke,beg,
Cambro-,-ette,downthrow,down-throw,began,
Canado-,-ety,downtown,down-town,beggar,
canaliculo-,-ex,downtrodden,down-trodden,begin,
cantho-,-exia,downturn,down-turn,begun,
capno-,-ey,downward,down-ward,behave,
carb-,-facient,downwind,down-wind,behind,
carbo-,-faction,dragonfly,dragon-fly,belief,
carcino-,-fag,drainpipe,drain-pipe,believe,
carcinomato-,-farm,dreadlock,dread-lock,bell,
cardio-,-fenac,dreadnought,dread-nought,belly,
cario-,-fentanil,dressmaker,dress-maker,belong,
carotico-,-ferous,dressmaking,dress-making,belonging,
Carpatho-,-fest,driftwood,drift-wood,belongings,
carpo-,-fiban,driveway,drive-way,below,
carto-,-fibrate,dropout,drop-out,belt,
cat-,-fication,drugstore,drug-store,bench,
cata-,-fier,drumbeat,drum-beat,bend,
Catalano-,-filcon,drumfire,drum-fire,beneath,
caudo-,-fix,drumroll,drum-roll,bent,
ceco-,-floxacin,drumstick,drum-stick,berry,
cedr-,-flurane,duckbill,duck-bill,beside,
cef-,-flux,dugout,dug-out,besides,
Celto-,-focon,dumbbell,dumb-bell,best,
cen-,-fold,dustpan,dust-pan,bet,
ceno-,-form,duststorm,dust-storm,better,
cent-,-formin,earache,ear-ache,between,
centi-,-fos,eardrum,ear-drum,beyond,
centri-,-fosfamide,earlobe,ear-lobe,bib,
centro-,-fosine,earmark,ear-mark,bible,
cephal-,-fovir,earmuff,ear-muff,bicycle,
cephalo-,-free,earphone,ear-phone,big,
cerauno-,-frine,earring,ear-ring,bigness,
cerebello-,-fu,earshot,ear-shot,bill,
cerebro-,-fugal,earthbound,earth-bound,billfold,
cero-,-fuge,earthquake,earth-quake,billion,
cervici-,-ful,earthward,earth-ward,bingo,
cervico-,-full,earthworm,earth-worm,bird,
chaeto-,-fungin,earwig,ear-wig,birth,
chalco-,-furter,eavesdrop,eaves-drop,birthday,
cheilo-,-fy,eggbeater,egg-beater,biscuit,
cheir-,-gamous,eggcup,egg-cup,bit,
cheiro-,-gamy,egghead,egg-head,bite,
cheli-,-gasm,eggnog,egg-nog,bitter,
chem-,-gastria,eggplant,egg-plant,black,
chemi-,-gate,eggshell,egg-shell,blackboard,
chemico-,-gatran,elsewhere,else-where,blackness,
chemo-,-gaze,evergreen,ever-green,blacksmith,
chilia-,-geddon,everlasting,ever-lasting,blame,
chion-,-gen,everybody,every-body,blank,
chir-,-genesis,everyday,every-day,blanket,
chiro-,-genic,everyone,every-one,blast,
chiroptero-,-genin,everything,every-thing,blastoff,
chlamydo-,-genous,everywhere,every-where,blaze,
chlor-,-geny,eyeball,eye-ball,bleed,
chloro-,-gerous,eyebrow,eye-brow,bless,
chloroformyl-,-gest,eyeglass,eye-glass,blew,
choano-,-gesterone,eyelash,eye-lash,blind,
cholangio-,-giline,eyelid,eye-lid,blindfold,
chole-,-gliflozin,eyepiece,eye-piece,blink,
cholecysto-,-gliptin,eyesight,eye-sight,blinker,
choledoch-,-glitazar,eyewitness,eye-witness,block,
choledocho-,-glitazone,fallout,fall-out,blond,
chondro-,-glossia,fanfare,fan-fare,blonde,
choreo-,-glot,farewell,fare-well,blood,
chorio-,-glutide,farmhouse,farm-house,bloodhound,
choro-,-gnathous,farmyard,farm-yard,bloodstream,
Christo-,-golide,farsighted,far-sighted,bloom,
chromat-,-gon,fatherland,father-land,blossom,
chromato-,-gony,feedback,feed-back,blot,
chromo-,-gram,fiddlesticks,fiddle-sticks,blouse,
chron-,-gramme,fingernail,finger-nail,blow,
chrono-,-graph,fingerprint,finger-print,blue,
chrys-,-grapher,fingertip,finger-tip,blueberry,
chryso-,-graphic,firearm,fire-arm,blush,
chylo-,-graphical,fireboat,fire-boat,board,
cilio-,-graphy,firebug,fire-bug,boat,
cine-,-grave,firefighter,fire-fighter,bobwhite,
cingulo-,-grel,firefly,fire-fly,body,
circum-,-gyny,fireman,fire-man,bodyguard,
cirro-,-ham,fireplace,fire-place,boil,
cis-,-happy,fireproof,fire-proof,bold,
clado-,-head,firewood,fire-wood,bolt,
cleido-,-hedra,firework,fire-work,bomb,
climo-,-hedral,firsthand,first-hand,bone,
clinico-,-hedron,fishbowl,fish-bowl,bonnet,
clino-,-henge,fishcake,fish-cake,boo,
co-,-holic,fisherman,fish-erman,book,
cobalti-,-holism,fisherwoman,fisher-woman,boom,
cobalto-,-hood,fisheye,fish-eye,boot,
cochleo-,-hour-old,fishhook,fish-hook,born,
coel-,-i,fishnet,fish-net,borrow,
coelo-,-ia,flagpole,flag-pole,boss,
c�lo-,-iad,flapjack,flap-jack,both,
coen-,-ial,flashlight,flash-light,bother,
c�n-,-ian,flatfish,flat-fish,bottle,
coeno-,-iana,floodlight,flood-light,bottom,
c�no-,-iasis,floorboard,floor-board,bought,
col-,-iatric,flowerbed,flower-bed,boulder,
colliculo-,-iatrician,flowerpot,flower-pot,bounce,
colo-,-iatrics,flyby,fly-by,bow,
Colombo-,-iatry,flyweight,fly-weight,bow-wow,
colpo-,-ibility,flywheel,fly-wheel,bowl,
com-,-ible,foghorn,fog-horn,box,
combi-,-ibly,folklore,folk-lore,boxcar,
con-,-ic,foolproof,fool-proof,boy,
condylo-,-ica,football,foot-ball,brace,
conico-,-ical,foothill,foot-hill,bracelet,
cono-,-icam,footlight,foot-light,brain,
contra-,-icase,footman,foot-man,brake,
contro-,-ication,footnote,foot-note,bran,
copro-,-ice,footprint,foot-print,branch,
Copto-,-ician,footrest,foot-rest,brand,
cor-,-icide,footstep,foot-step,brand-new,
coraco-,-icism,footstool,foot-stool,brass,
corneo-,-icity,footwear,foot-wear,brave,
cort-,-ick,forecast,fore-cast,bravery,
cortico-,-icle,foreclose,fore-close,bread,
cosmo-,-ics,foreman,fore-man,break,
cost-,-id,foremost,fore-most,breakfast,
costo-,-ide,foreshadow,fore-shadow,breast,
counter-,-idene,foresight,fore-sight,breath,
cran-,-idine,forthwith,forth-with,breathe,
cranio-,-ie,foursquare,four-square,breeze,
crico-,-ied,foxglove,fox-glove,brick,
Croato-,-ienne,foxhole,fox-hole,bride,
crono-,-ier,framework,frame-work,bridge,
cross-,-ies,freelance,free-lance,bright,
cruro-,-iest,freeway,free-way,brighten,
cryo-,-iety,freshman,fresh-man,bring,
crypt-,-ifene,freshwater,fresh-water,broad,
crypto-,-iferous,friendship,friend-ship,broadcast,
crystallo-,-ific,frogman,frog-man,broke,
cteno-,-ification,frostbite,frost-bite,broken,
culdo-,-ifier,frostbitten,frost-bitten,broken-hearted,
cuneo-,-iform,fruitcake,fruit-cake,brook,
cupr-,-ify,furthermore,further-more,broom,
cupro-,-ile,gallbladder,gall-bladder,brother,
cyan-,-ilide,gallstone,gall-stone,brought,
cyano-,-illiard,gearshift,gear-shift,brown,
cyber-,-illion,gemstone,gem-stone,brownie,
cycl-,-ily,gentleman,gentle-man,brush,
cyclo-,-imibe,getghostwriter,get-ghostwriter,bubble,
Cymro-,-imundo,gingerbread,ginger-bread,bucket,
cyn-,-imus,giveglobetrotter,give-globe-trotter,buckle,
cyno-,-in,glowworm,glow-worm,bud,
Cypro-,-in',goalkeeper,goal-keeper,budge,
cyrto-,-inator,goalpost,goal-post,buffalo,
cysto-,-inda,goldenrod,golden-rod,bug,
cyt-,-ine,goldfinch,gold-finch,buggy,
cythero-,inflectional suffix,goldfish,gold-fish,build,
cyto-,-ing,goldmine,gold-mine,building,
Czecho-,-�ng,goldsmith,gold-smith,bulb,
d,-ing-form,goodnight,good-night,bull,
D/L,-in-law,grandchild,grand-child,bullet,
Daco-,-ino,granddaughter,grand-daughter,bulletin,
dacryo-,-in-waiting,grandfather,grand-father,bumblebee,
dactyl-,-ion,grandma,grand-ma,bump,
dactylo-,-iot,grandmother,grand-mother,bumpy,
Dalmato-,-iour,grandpa,grand-pa,bun,
Dano-,-ious,grandparent,grand-parent,bunch,
dasy-,-irudin,grandson,grand-son,bundle,
de-,-isation,grandstand,grand-stand,bunk,
dec-,-ise,grapefruit,grape-fruit,bunny,
deca-,-iser,grapevine,grape-vine,burglar,
decakis-,-ish,grasshopper,grass-hopper,burn,
deci-,-ism,grassland,grass-land,burnt,
dehydro-,-ismus,gravestone,grave-stone,burro,
deipno-,-ist,graveyard,grave-yard,burst,
deka-,-ista,greenback,green-back,bury,
demi-,-istic,greengrocer,green-grocer,bus,
demo-,-istical,greenhorn,green-horn,bush,
demono-,-istically,greenhouse,green-house,bushel,
dendr-,-itan,greyhound,grey-hound,business,
dendro-,-ite,gridlock,grid-lock,busy,
denti-,-ition,grindstone,grind-stone,but,
dento-,-itis,groundbreaking,ground-breaking,butcher,
deorsum-,-itol,groundcover,ground-cover,butter,
deoxy-,-itude,groundhog,ground-hog,butterfly,
derm-,-ity,groundskeeper,grounds-keeper,butterscotch,
dermo-,-ium,groundspeed,ground-speed,button,
derma-,-ive,groundwork,ground-work,buy,
dermat-,-ization,grownup,grown-up,buzz,
dermato-,-ize,guidebook,guide-book,by,
des-,-izer,guideline,guide-line,bye,
desmo-,-izine,guidepost,guide-post,cab,
desoxy-,-izzle,gumdrop,gum-drop,cabbage,
deuter-,-izzy,gunfire,gun-fire,cabin,
deutero-,j,gunmetal,gun-metal,cage,
dex-,-ja,gunpowder,gun-powder,cake,
dextro-,-ji,hacksaw,hack-saw,calendar,
di-,-k,hailstone,hail-stone,calf,
dia-,-kacin,hailstorm,hail-storm,call,
diamido-,-kin,hairbrush,hair-brush,came,
dichlor-,-kin-,haircut,hair-cut,camel,
dichloro-,-kind,hairdo,hair-do,camera,
dicho-,-kinesis,hairdresser,hair-dresser,camp,
digi-,-kini,hairline,hair-line,can,
dihydro-,-kinra,halfback,half-back,can't,
dil-,-kins,halfhearted,half-hearted,canal,
dilithio-,-kiren,halfway,half-way,canary,
